"","X1","#","Name","Type 1","Type 2","Total","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation","Legendary","url","desc.1","desc.2","list.best.stats","best.hp","best.atk","best.def","best.sp.atk","best.sp.def","best.spd"
"216",216,200,"Misdreavus","Ghost",NA,435,60,60,60,85,85,85,2,"False","https://bulbapedia.bulbagarden.net/wiki/Misdreavus_(Pokémon)","Misdreavus (Japanese: ムウマ Muma) is a Ghost-type Pokémon introduced in Generation II.
","It evolves into Mismagius when exposed to a Dusk Stone.
","z.spd",0,0,0,0,0,1
"217",217,201,"Unown","Psychic",NA,336,48,72,48,72,48,48,2,"False","https://bulbapedia.bulbagarden.net/wiki/Unown_(Pokémon)","Unown (Japanese: アンノーン Unknown) is a Psychic-type Pokémon introduced in Generation II.
","While it is not known to evolve into or from any other Pokémon, as of Generation III, Unown has 28 derivative shapes, chronicled in the Unown Mode in Generation II and the Unown Report in HeartGold and SoulSilver. There are 26 Latin alphabet characters, plus ? (question mark) and ! (exclamation mark) introduced in Generation III. In Generation II, its shape is determined by its individual values; in Generation III, it is determined by its personality value; from Generation IV onward, it is determined by a separate form identifier.
","z.sp.atk",0,0,0,1,0,0
"218",218,202,"Wobbuffet","Psychic",NA,405,190,33,58,33,58,33,2,"False","https://bulbapedia.bulbagarden.net/wiki/Wobbuffet_(Pokémon)","Wobbuffet (Japanese: ソーナンス Sonans) is a Psychic-type Pokémon introduced in Generation II.
","It evolves from Wynaut starting at level 15.
","z.hp",1,0,0,0,0,0
"219",219,203,"Girafarig","Normal","Psychic",455,70,80,65,90,65,85,2,"False","https://bulbapedia.bulbagarden.net/wiki/Girafarig_(Pokémon)","Girafarig (Japanese: キリンリキ Kirinriki) is a dual-type Normal/Psychic Pokémon introduced in Generation II.
","It is not known to evolve into or from any other Pokémon. 
","z.spd",0,0,0,0,0,1
"220",220,204,"Pineco","Bug",NA,290,50,65,90,35,35,15,2,"False","https://bulbapedia.bulbagarden.net/wiki/Pineco_(Pokémon)","Pineco (Japanese: クヌギダマ Kunugidama) is a Bug-type Pokémon introduced in Generation II.
","It evolves into Forretress starting at level 31.
","z.def",0,0,1,0,0,0
"221",221,205,"Forretress","Bug","Steel",465,75,90,140,60,60,40,2,"False","https://bulbapedia.bulbagarden.net/wiki/Forretress_(Pokémon)","Forretress (Japanese: フォレトス Foretos) is a dual-type Bug/Steel Pokémon introduced in Generation II.
","It evolves from Pineco starting at level 31.
","z.def",0,0,1,0,0,0
"222",222,206,"Dunsparce","Normal",NA,415,100,70,70,65,65,45,2,"False","https://bulbapedia.bulbagarden.net/wiki/Dunsparce_(Pokémon)","Dunsparce (Japanese: ノコッチ Nokocchi) is a Normal-type Pokémon introduced in Generation II.
","It is not known to evolve into or from any other Pokémon.
","z.hp",1,0,0,0,0,0
"223",223,207,"Gligar","Ground","Flying",430,65,75,105,35,65,85,2,"False","https://bulbapedia.bulbagarden.net/wiki/Gligar_(Pokémon)","Gligar (Japanese: グライガー Gliger) is a dual-type Ground/Flying Pokémon introduced in Generation II.
","It evolves into Gliscor when leveled up holding a Razor Fang during the night.
","z.def",0,0,1,0,0,0
"224",224,208,"Steelix","Steel","Ground",510,75,85,200,55,65,30,2,"False","https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pokémon)","Steelix (Japanese: ハガネール Haganeil) is a dual-type Steel/Ground Pokémon introduced in Generation II.
","It evolves from Onix when traded holding a Metal Coat. It can Mega Evolve into Mega Steelix using the Steelixite.
","z.def",0,0,1,0,0,0
"225",225,208,"SteelixMega Steelix","Steel","Ground",610,75,125,230,55,95,30,2,"False",NA,"The description information for this Pokemon is not readily accessible.","","z.def",0,0,1,0,0,0
"226",226,209,"Snubbull","Fairy",NA,300,60,80,50,40,40,30,2,"False","https://bulbapedia.bulbagarden.net/wiki/Snubbull_(Pokémon)","Snubbull (Japanese: ブルー Bulu) is a Fairy-type Pokémon introduced in Generation II. Prior to Generation VI, it was a Normal-type Pokémon.
","It evolves into Granbull starting at level 23.
","z.atk",0,1,0,0,0,0
"227",227,210,"Granbull","Fairy",NA,450,90,120,75,60,60,45,2,"False","https://bulbapedia.bulbagarden.net/wiki/Granbull_(Pokémon)","Granbull (Japanese: グランブル Granbulu) is a Fairy-type Pokémon introduced in Generation II. Prior to Generation VI, it was a Normal-type Pokémon.
","It evolves from Snubbull starting at level 23.
","z.atk",0,1,0,0,0,0
"228",228,211,"Qwilfish","Water","Poison",430,65,95,75,55,55,85,2,"False","https://bulbapedia.bulbagarden.net/wiki/Qwilfish_(Pokémon)","Qwilfish (Japanese: ハリーセン Harysen) is a dual-type Water/Poison Pokémon introduced in Generation II.
","It is not known to evolve into or from any other Pokémon.
","z.spd",0,0,0,0,0,1
"229",229,212,"Scizor","Bug","Steel",500,70,130,100,55,80,65,2,"False","https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pokémon)","Scizor (Japanese: ハッサム Hassam) is a dual-type Bug/Steel Pokémon introduced in Generation II.
","It evolves from Scyther when traded holding a Metal Coat. It can Mega Evolve into Mega Scizor using the Scizorite.
","z.atk",0,1,0,0,0,0
"230",230,212,"ScizorMega Scizor","Bug","Steel",600,70,150,140,65,100,75,2,"False",NA,"The description information for this Pokemon is not readily accessible.","","z.atk",0,1,0,0,0,0
"231",231,213,"Shuckle","Bug","Rock",505,20,10,230,10,230,5,2,"False","https://bulbapedia.bulbagarden.net/wiki/Shuckle_(Pokémon)","Shuckle (Japanese: ツボツボ Tsubotsubo) is a dual-type Bug/Rock Pokémon introduced in Generation II.
","It is not known to evolve into or from any other Pokémon.
","z.sp.def",0,0,0,0,1,0
"232",232,214,"Heracross","Bug","Fighting",500,80,125,75,40,95,85,2,"False","https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pokémon)","Heracross (Japanese: ヘラクロス Heracros) is a dual-type Bug/Fighting Pokémon introduced in Generation II.
","While it is not known to evolve into or from any other Pokémon, it can Mega Evolve into Mega Heracross using the Heracronite.
","z.atk",0,1,0,0,0,0
"233",233,214,"HeracrossMega Heracross","Bug","Fighting",600,80,185,115,40,105,75,2,"False",NA,"The description information for this Pokemon is not readily accessible.","","z.atk",0,1,0,0,0,0
"234",234,215,"Sneasel","Dark","Ice",430,55,95,55,35,75,115,2,"False","https://bulbapedia.bulbagarden.net/wiki/Sneasel_(Pokémon)","Sneasel (Japanese: ニューラ Nyula) is a dual-type Dark/Ice Pokémon introduced in Generation II.
","It evolves into Weavile when leveled up holding a Razor Claw during the night.
","z.spd",0,0,0,0,0,1
"235",235,216,"Teddiursa","Normal",NA,330,60,80,50,50,50,40,2,"False","https://bulbapedia.bulbagarden.net/wiki/Teddiursa_(Pokémon)","Teddiursa (Japanese: ヒメグマ Himeguma) is a Normal-type Pokémon introduced in Generation II.
","It evolves into Ursaring starting at level 30.
","z.atk",0,1,0,0,0,0
"236",236,217,"Ursaring","Normal",NA,500,90,130,75,75,75,55,2,"False","https://bulbapedia.bulbagarden.net/wiki/Ursaring_(Pokémon)","Ursaring (Japanese: リングマ Ringuma) is a Normal-type Pokémon introduced in Generation II.
","It evolves from Teddiursa starting at level 30.
","z.atk",0,1,0,0,0,0
"237",237,218,"Slugma","Fire",NA,250,40,40,40,70,40,20,2,"False","https://bulbapedia.bulbagarden.net/wiki/Slugma_(Pokémon)","Slugma (Japanese: マグマッグ Magmag) is a Fire-type Pokémon introduced in Generation II.
","It evolves into Magcargo starting at level 38.
","z.sp.atk",0,0,0,1,0,0
"238",238,219,"Magcargo","Fire","Rock",410,50,50,120,80,80,30,2,"False","https://bulbapedia.bulbagarden.net/wiki/Magcargo_(Pokémon)","Magcargo (Japanese: マグカルゴ Magcargot) is a dual-type Fire/Rock Pokémon introduced in Generation II.
","It evolves from Slugma starting at level 38.
","z.def",0,0,1,0,0,0
"239",239,220,"Swinub","Ice","Ground",250,50,50,40,30,30,50,2,"False","https://bulbapedia.bulbagarden.net/wiki/Swinub_(Pokémon)","Swinub (Japanese: ウリムー Urimoo) is a dual-type Ice/Ground Pokémon introduced in Generation II.
","It evolves into Piloswine starting at level 33, which evolves into Mamoswine when leveled up while knowing Ancient Power.
","z.spd",0,0,0,0,0,1
"240",240,221,"Piloswine","Ice","Ground",450,100,100,80,60,60,50,2,"False","https://bulbapedia.bulbagarden.net/wiki/Piloswine_(Pokémon)","Piloswine (Japanese: イノムー Inomoo) is a dual-type Ice/Ground Pokémon introduced in Generation II.
","It evolves from Swinub starting at level 33 and, starting in Generation IV, evolves into Mamoswine when leveled up while knowing Ancient Power.
","z.hp",1,0,0,0,0,0
"241",241,222,"Corsola","Water","Rock",380,55,55,85,65,85,35,2,"False","https://bulbapedia.bulbagarden.net/wiki/Corsola_(Pokémon)","Corsola (Japanese: サニーゴ Sunnygo) is a dual-type Water/Rock Pokémon introduced in Generation II.
","It is not known to evolve into or from any other Pokémon.
","z.sp.def",0,0,0,0,1,0
"242",242,223,"Remoraid","Water",NA,300,35,65,35,65,35,65,2,"False","https://bulbapedia.bulbagarden.net/wiki/Remoraid_(Pokémon)","Remoraid (Japanese: テッポウオ Teppouo) is a Water-type Pokémon introduced in Generation II.
","It evolves into Octillery starting at level 25.
","z.spd",0,0,0,0,0,1
"243",243,224,"Octillery","Water",NA,480,75,105,75,105,75,45,2,"False","https://bulbapedia.bulbagarden.net/wiki/Octillery_(Pokémon)","Octillery (Japanese: オクタン Okutank) is a Water-type Pokémon introduced in Generation II.
","It evolves from Remoraid starting at level 25.
","z.sp.atk",0,0,0,1,0,0
"244",244,225,"Delibird","Ice","Flying",330,45,55,45,65,45,75,2,"False","https://bulbapedia.bulbagarden.net/wiki/Delibird_(Pokémon)","Delibird (Japanese: デリバード Delibird) is a dual-type Ice/Flying Pokémon introduced in Generation II.
","It is not known to evolve into or from any other Pokémon.
","z.spd",0,0,0,0,0,1
"245",245,226,"Mantine","Water","Flying",465,65,40,70,80,140,70,2,"False","https://bulbapedia.bulbagarden.net/wiki/Mantine_(Pokémon)","Mantine (Japanese: マンタイン Mantain) is a dual-type Water/Flying Pokémon introduced in Generation II.
","It evolves from Mantyke when leveled up with a Remoraid in the party.
","z.sp.def",0,0,0,0,1,0
"246",246,227,"Skarmory","Steel","Flying",465,65,80,140,40,70,70,2,"False","https://bulbapedia.bulbagarden.net/wiki/Skarmory_(Pokémon)","Skarmory (Japanese: エアームド Airmd) is a dual-type Steel/Flying Pokémon introduced in Generation II.
","It is not known to evolve into or from any other Pokémon.
","z.def",0,0,1,0,0,0
"247",247,228,"Houndour","Dark","Fire",330,45,60,30,80,50,65,2,"False","https://bulbapedia.bulbagarden.net/wiki/Houndour_(Pokémon)","Houndour (Japanese: デルビル Delvil) is a dual-type Dark/Fire Pokémon introduced in Generation II.
","It evolves into Houndoom starting at level 24.
","z.sp.atk",0,0,0,1,0,0
"248",248,229,"Houndoom","Dark","Fire",500,75,90,50,110,80,95,2,"False","https://bulbapedia.bulbagarden.net/wiki/Houndoom_(Pokémon)","Houndoom (Japanese: ヘルガー Hellgar) is a dual-type Dark/Fire Pokémon introduced in Generation II.
","It evolves from Houndour starting at level 24. It can Mega Evolve into Mega Houndoom using the Houndoominite.
","z.sp.atk",0,0,0,1,0,0
"249",249,229,"HoundoomMega Houndoom","Dark","Fire",600,75,90,90,140,90,115,2,"False",NA,"The description information for this Pokemon is not readily accessible.","","z.sp.atk",0,0,0,1,0,0
"250",250,230,"Kingdra","Water","Dragon",540,75,95,95,95,95,85,2,"False","https://bulbapedia.bulbagarden.net/wiki/Kingdra_(Pokémon)","Kingdra (Japanese: キングドラ Kingdra) is a dual-type Water/Dragon Pokémon introduced in Generation II.
","It evolves from Seadra when traded holding a Dragon Scale. It is the final form of Horsea.
","z.sp.def",0,0,0,0,1,0
"251",251,231,"Phanpy","Ground",NA,330,90,60,60,40,40,40,2,"False","https://bulbapedia.bulbagarden.net/wiki/Phanpy_(Pokémon)","Phanpy (Japanese: ゴマゾウ Gomazou) is a Ground-type Pokémon introduced in Generation II.
","It evolves into Donphan starting at level 25.
","z.hp",1,0,0,0,0,0
"252",252,232,"Donphan","Ground",NA,500,90,120,120,60,60,50,2,"False","https://bulbapedia.bulbagarden.net/wiki/Donphan_(Pokémon)","Donphan (Japanese: ドンファン Donfan) is a Ground-type Pokémon introduced in Generation II.
","It evolves from Phanpy starting at level 25.
","z.def",0,0,1,0,0,0
"253",253,233,"Porygon2","Normal",NA,515,85,80,90,105,95,60,2,"False","https://bulbapedia.bulbagarden.net/wiki/Porygon2_(Pokémon)","Porygon2 (Japanese: ポリゴン２ Porygon2) is a Normal-type Pokémon introduced in Generation II.
","It evolves from Porygon when traded holding an Up-Grade and evolves into Porygon-Z when traded holding a Dubious Disc.
","z.sp.atk",0,0,0,1,0,0
"254",254,234,"Stantler","Normal",NA,465,73,95,62,85,65,85,2,"False","https://bulbapedia.bulbagarden.net/wiki/Stantler_(Pokémon)","Stantler (Japanese: オドシシ Odoshishi) is a Normal-type Pokémon introduced in Generation II.
","It is not known to evolve into or from any other Pokémon.
","z.spd",0,0,0,0,0,1
"255",255,235,"Smeargle","Normal",NA,250,55,20,35,20,45,75,2,"False","https://bulbapedia.bulbagarden.net/wiki/Smeargle_(Pokémon)","Smeargle (Japanese: ドーブル Doble) is a Normal-type Pokémon introduced in Generation II.
","It is not known to evolve into or from any other Pokémon.
","z.spd",0,0,0,0,0,1
"256",256,236,"Tyrogue","Fighting",NA,210,35,35,35,35,35,35,2,"False","https://bulbapedia.bulbagarden.net/wiki/Tyrogue_(Pokémon)","Tyrogue (Japanese: バルキー Balkie) is a Fighting-type baby Pokémon introduced in Generation II.
","It evolves into one of three different Pokémon starting at level 20:
","z.spd",0,0,0,0,0,1
"257",257,237,"Hitmontop","Fighting",NA,455,50,95,95,35,110,70,2,"False","https://bulbapedia.bulbagarden.net/wiki/Hitmontop_(Pokémon)","Hitmontop (Japanese: カポエラー Kapoerer) is a Fighting-type Pokémon introduced in Generation II.
","It evolves from Tyrogue starting at level 20 when Tyrogue's Attack and Defense are equal. It is one of Tyrogue's final forms, the others being Hitmonlee and Hitmonchan.
","z.sp.def",0,0,0,0,1,0
"258",258,238,"Smoochum","Ice","Psychic",305,45,30,15,85,65,65,2,"False","https://bulbapedia.bulbagarden.net/wiki/Smoochum_(Pokémon)","Smoochum (Japanese: ムチュール Muchul) is a dual-type Ice/Psychic baby Pokémon introduced in Generation II.
","It evolves into Jynx starting at level 30.
","z.sp.atk",0,0,0,1,0,0
"259",259,239,"Elekid","Electric",NA,360,45,63,37,65,55,95,2,"False","https://bulbapedia.bulbagarden.net/wiki/Elekid_(Pokémon)","Elekid (Japanese: エレキッド Elekid) is an Electric-type baby Pokémon introduced in Generation II.
","It evolves into Electabuzz starting at level 30, which evolves into Electivire when traded holding an Electirizer.
","z.spd",0,0,0,0,0,1
"260",260,240,"Magby","Fire",NA,365,45,75,37,70,55,83,2,"False","https://bulbapedia.bulbagarden.net/wiki/Magby_(Pokémon)","Magby (Japanese: ブビィ Buby) is a Fire-type baby Pokémon introduced in Generation II.
","It evolves into Magmar starting at level 30, which evolves into Magmortar when traded holding a Magmarizer.
","z.spd",0,0,0,0,0,1
"261",261,241,"Miltank","Normal",NA,490,95,80,105,40,70,100,2,"False","https://bulbapedia.bulbagarden.net/wiki/Miltank_(Pokémon)","Miltank (Japanese: ミルタンク Miltank) is a Normal-type Pokémon introduced in Generation II.
","It is not known to evolve into or from any other Pokémon, but it is considered to be a counterpart of Tauros.
","z.spd",0,0,0,0,0,1
"262",262,242,"Blissey","Normal",NA,540,255,10,10,75,135,55,2,"False","https://bulbapedia.bulbagarden.net/wiki/Blissey_(Pokémon)","Blissey (Japanese: ハピナス Happinas) is a Normal-type Pokémon introduced in Generation II.
","It evolves from Chansey when leveled up with high friendship. It is the final form of Happiny.
","z.hp",1,0,0,0,0,0
"263",263,243,"Raikou","Electric",NA,580,90,85,75,115,100,115,2,"True","https://bulbapedia.bulbagarden.net/wiki/Raikou_(Pokémon)","Raikou (Japanese: ライコウ Raikou) is an Electric-type Legendary Pokémon introduced in Generation II.
","It is not known to evolve into or from any other Pokémon.
","z.spd",0,0,0,0,0,1
"264",264,244,"Entei","Fire",NA,580,115,115,85,90,75,100,2,"True","https://bulbapedia.bulbagarden.net/wiki/Entei_(Pokémon)","Entei (Japanese: エンテイ Entei) is a Fire-type Legendary Pokémon introduced in Generation II.
","It is not known to evolve into or from any other Pokémon.
","z.hp",1,0,0,0,0,0
"265",265,245,"Suicune","Water",NA,580,100,75,115,90,115,85,2,"True","https://bulbapedia.bulbagarden.net/wiki/Suicune_(Pokémon)","Suicune (Japanese: スイクン Suicune) is a Water-type Legendary Pokémon introduced in Generation II.
","It is not known to evolve into or from any other Pokémon.
","z.sp.def",0,0,0,0,1,0
"266",266,246,"Larvitar","Rock","Ground",300,50,64,50,45,50,41,2,"False","https://bulbapedia.bulbagarden.net/wiki/Larvitar_(Pokémon)","Larvitar (Japanese: ヨーギラス Yogiras) is a dual-type Rock/Ground Pokémon introduced in Generation II.
","It evolves into Pupitar starting at level 30, which evolves into Tyranitar starting at level 55.
","z.atk",0,1,0,0,0,0
"267",267,247,"Pupitar","Rock","Ground",410,70,84,70,65,70,51,2,"False","https://bulbapedia.bulbagarden.net/wiki/Pupitar_(Pokémon)","Pupitar (Japanese: サナギラス Sanagiras) is a dual-type Rock/Ground Pokémon introduced in Generation II.
","It evolves from Larvitar starting at level 30 and evolves into Tyranitar starting at level 55.
","z.atk",0,1,0,0,0,0
"268",268,248,"Tyranitar","Rock","Dark",600,100,134,110,95,100,61,2,"False","https://bulbapedia.bulbagarden.net/wiki/Tyranitar_(Pokémon)","Tyranitar (Japanese: バンギラス Bangiras) is a dual-type Rock/Dark pseudo-legendary Pokémon introduced in Generation II.
","It evolves from Pupitar starting at level 55. It is the final form of Larvitar. It can Mega Evolve into Mega Tyranitar using the Tyranitarite.
","z.atk",0,1,0,0,0,0
"269",269,248,"TyranitarMega Tyranitar","Rock","Dark",700,100,164,150,95,120,71,2,"False",NA,"The description information for this Pokemon is not readily accessible.","","z.atk",0,1,0,0,0,0
"270",270,249,"Lugia","Psychic","Flying",680,106,90,130,90,154,110,2,"True","https://bulbapedia.bulbagarden.net/wiki/Lugia_(Pokémon)","Lugia (Japanese: ルギア Lugia) is a dual-type Psychic/Flying Legendary Pokémon introduced in Generation II.
","It is not known to evolve into or from any other Pokémon.
","z.sp.def",0,0,0,0,1,0
"271",271,250,"Ho-oh","Fire","Flying",680,106,130,90,110,154,90,2,"True",NA,"The description information for this Pokemon is not readily accessible.","","z.sp.def",0,0,0,0,1,0
"272",272,251,"Celebi","Psychic","Grass",600,100,100,100,100,100,100,2,"False","https://bulbapedia.bulbagarden.net/wiki/Celebi_(Pokémon)","Celebi (Japanese: セレビィ Celebi) is a dual-type Psychic/Grass Mythical Pokémon introduced in Generation II.
","It is not known to evolve into or from any other Pokémon.
","z.hp",1,0,0,0,0,0
"273",273,252,"Treecko","Grass",NA,310,40,45,35,65,55,70,3,"False","https://bulbapedia.bulbagarden.net/wiki/Treecko_(Pokémon)","Treecko (Japanese: キモリ Kimori) is a Grass-type Pokémon introduced in Generation III.
","It evolves into Grovyle starting at level 16, which evolves into Sceptile starting at level 36.
","z.spd",0,0,0,0,0,1
"274",274,253,"Grovyle","Grass",NA,405,50,65,45,85,65,95,3,"False","https://bulbapedia.bulbagarden.net/wiki/Grovyle_(Pokémon)","Grovyle (Japanese: ジュプトル Juptile) is a Grass-type Pokémon introduced in Generation III.
","It evolves from Treecko starting at level 16 and evolves into Sceptile starting at level 36.
","z.spd",0,0,0,0,0,1
"275",275,254,"Sceptile","Grass",NA,530,70,85,65,105,85,120,3,"False","https://bulbapedia.bulbagarden.net/wiki/Sceptile_(Pokémon)","Sceptile (Japanese: ジュカイン Jukain) is a Grass-type Pokémon introduced in Generation III.
","It evolves from Grovyle starting at level 36. It is the final form of Treecko. It can Mega Evolve into Mega Sceptile using the Sceptilite.
","z.spd",0,0,0,0,0,1
"276",276,254,"SceptileMega Sceptile","Grass","Dragon",630,70,110,75,145,85,145,3,"False",NA,"The description information for this Pokemon is not readily accessible.","","z.spd",0,0,0,0,0,1
"277",277,255,"Torchic","Fire",NA,310,45,60,40,70,50,45,3,"False","https://bulbapedia.bulbagarden.net/wiki/Torchic_(Pokémon)","Torchic (Japanese: アチャモ Achamo) is a Fire-type Pokémon introduced in Generation III.
","It evolves into Combusken starting at level 16, which evolves into Blaziken starting at level 36.
","z.sp.atk",0,0,0,1,0,0
"278",278,256,"Combusken","Fire","Fighting",405,60,85,60,85,60,55,3,"False","https://bulbapedia.bulbagarden.net/wiki/Combusken_(Pokémon)","Combusken (Japanese: ワカシャモ Wakasyamo) is a dual-type Fire/Fighting Pokémon introduced in Generation III.
","It evolves from Torchic starting at level 16 and evolves into Blaziken starting at level 36.
","z.sp.atk",0,0,0,1,0,0
"279",279,257,"Blaziken","Fire","Fighting",530,80,120,70,110,70,80,3,"False","https://bulbapedia.bulbagarden.net/wiki/Blaziken_(Pokémon)","Blaziken (Japanese: バシャーモ Bursyamo) is a dual-type Fire/Fighting Pokémon introduced in Generation III.
","It evolves from Combusken starting at level 36. It is the final form of Torchic. It can Mega Evolve into Mega Blaziken using the Blazikenite.
","z.atk",0,1,0,0,0,0
"280",280,257,"BlazikenMega Blaziken","Fire","Fighting",630,80,160,80,130,80,100,3,"False",NA,"The description information for this Pokemon is not readily accessible.","","z.atk",0,1,0,0,0,0
"281",281,258,"Mudkip","Water",NA,310,50,70,50,50,50,40,3,"False","https://bulbapedia.bulbagarden.net/wiki/Mudkip_(Pokémon)","Mudkip (Japanese: ミズゴロウ Mizugorou) is a Water-type Pokémon introduced in Generation III.
","It evolves into Marshtomp starting at level 16, which evolves into Swampert starting at level 36.
","z.atk",0,1,0,0,0,0
"282",282,259,"Marshtomp","Water","Ground",405,70,85,70,60,70,50,3,"False","https://bulbapedia.bulbagarden.net/wiki/Marshtomp_(Pokémon)","Marshtomp (Japanese: ヌマクロー Numacraw) is a dual-type Water/Ground Pokémon introduced in Generation III.
","It evolves from Mudkip starting at level 16 and evolves into Swampert starting at level 36.
","z.atk",0,1,0,0,0,0
"283",283,260,"Swampert","Water","Ground",535,100,110,90,85,90,60,3,"False","https://bulbapedia.bulbagarden.net/wiki/Swampert_(Pokémon)","Swampert (Japanese: ラグラージ Laglarge) is a dual-type Water/Ground Pokémon introduced in Generation III.
","It evolves from Marshtomp starting at level 36. It is the final form of Mudkip. It can Mega Evolve into Mega Swampert using the Swampertite.
","z.hp",1,0,0,0,0,0
"284",284,260,"SwampertMega Swampert","Water","Ground",635,100,150,110,95,110,70,3,"False",NA,"The description information for this Pokemon is not readily accessible.","","z.atk",0,1,0,0,0,0
"285",285,261,"Poochyena","Dark",NA,220,35,55,35,30,30,35,3,"False","https://bulbapedia.bulbagarden.net/wiki/Poochyena_(Pokémon)","Poochyena (Japanese: ポチエナ Pochiena) is a Dark-type Pokémon introduced in Generation III.
","It evolves into Mightyena starting at level 18.
","z.atk",0,1,0,0,0,0
"286",286,262,"Mightyena","Dark",NA,420,70,90,70,60,60,70,3,"False","https://bulbapedia.bulbagarden.net/wiki/Mightyena_(Pokémon)","Mightyena (Japanese: グラエナ Graena) is a Dark-type Pokémon introduced in Generation III.
","It evolves from Poochyena starting at level 18.
","z.atk",0,1,0,0,0,0
"287",287,263,"Zigzagoon","Normal",NA,240,38,30,41,30,41,60,3,"False","https://bulbapedia.bulbagarden.net/wiki/Zigzagoon_(Pokémon)","Zigzagoon (Japanese: ジグザグマ Jiguzaguma) is a Normal-type Pokémon introduced in Generation III.
","It evolves into Linoone starting at level 20.
","z.spd",0,0,0,0,0,1
"288",288,264,"Linoone","Normal",NA,420,78,70,61,50,61,100,3,"False","https://bulbapedia.bulbagarden.net/wiki/Linoone_(Pokémon)","Linoone (Japanese: マッスグマ Massuguma) is a Normal-type Pokémon introduced in Generation III.
","It evolves from Zigzagoon starting at level 20.
","z.spd",0,0,0,0,0,1
"289",289,265,"Wurmple","Bug",NA,195,45,45,35,20,30,20,3,"False","https://bulbapedia.bulbagarden.net/wiki/Wurmple_(Pokémon)","Wurmple (Japanese: ケムッソ Kemusso) is a Bug-type Pokémon introduced in Generation III.
","Wurmple will evolve into either Silcoon or Cascoon starting at level 7 depending on its personality value. As personality values cannot be influenced or seen by the player, what a given Wurmple will evolve into is essentially random. From there, the Silcoon or Cascoon will evolve again starting at level 10 into Beautifly or Dustox respectively.
","z.hp",1,0,0,0,0,0
"290",290,266,"Silcoon","Bug",NA,205,50,35,55,25,25,15,3,"False","https://bulbapedia.bulbagarden.net/wiki/Silcoon_(Pokémon)","Silcoon (Japanese: カラサリス Karasalis) is a Bug-type Pokémon introduced in Generation III.
","It evolves from Wurmple depending on its personality value, starting at level 7, and it evolves into Beautifly starting at level 10.
","z.def",0,0,1,0,0,0
"291",291,267,"Beautifly","Bug","Flying",395,60,70,50,100,50,65,3,"False","https://bulbapedia.bulbagarden.net/wiki/Beautifly_(Pokémon)","Beautifly (Japanese: アゲハント Agehunt) is a dual-type Bug/Flying Pokémon introduced in Generation III.
","It evolves from Silcoon starting at level 10. It is one of Wurmple's final forms, the other being Dustox.
","z.sp.atk",0,0,0,1,0,0
"292",292,268,"Cascoon","Bug",NA,205,50,35,55,25,25,15,3,"False","https://bulbapedia.bulbagarden.net/wiki/Cascoon_(Pokémon)","Cascoon (Japanese: マユルド Mayuld) is a Bug-type Pokémon introduced in Generation III.
","It evolves from Wurmple depending on its personality value, starting at level 7, and it evolves into Dustox starting at level 10.
","z.def",0,0,1,0,0,0
"293",293,269,"Dustox","Bug","Poison",385,60,50,70,50,90,65,3,"False","https://bulbapedia.bulbagarden.net/wiki/Dustox_(Pokémon)","Dustox (Japanese: ドクケイル Dokucale) is a dual-type Bug/Poison Pokémon introduced in Generation III.
","It evolves from Cascoon starting at level 10. It is one of Wurmple's final forms, the other being Beautifly.
","z.sp.def",0,0,0,0,1,0
"294",294,270,"Lotad","Water","Grass",220,40,30,30,40,50,30,3,"False","https://bulbapedia.bulbagarden.net/wiki/Lotad_(Pokémon)","Lotad (Japanese: ハスボー Hassboh) is a dual-type Water/Grass Pokémon introduced in Generation III.
","It evolves into Lombre starting at level 14, which evolves into Ludicolo when exposed to a Water Stone.
","z.sp.def",0,0,0,0,1,0
"295",295,271,"Lombre","Water","Grass",340,60,50,50,60,70,50,3,"False","https://bulbapedia.bulbagarden.net/wiki/Lombre_(Pokémon)","Lombre (Japanese: ハスブレロ Hasubrero) is a dual-type Water/Grass Pokémon introduced in Generation III.
","It evolves from Lotad starting at level 14 and evolves into Ludicolo when exposed to a Water Stone.
","z.sp.def",0,0,0,0,1,0
"296",296,272,"Ludicolo","Water","Grass",480,80,70,70,90,100,70,3,"False","https://bulbapedia.bulbagarden.net/wiki/Ludicolo_(Pokémon)","Ludicolo (Japanese: ルンパッパ Runpappa) is a dual-type Water/Grass Pokémon introduced in Generation III.
","It evolves from Lombre when exposed to a Water Stone. It is the final form of Lotad.
","z.sp.def",0,0,0,0,1,0
"297",297,273,"Seedot","Grass",NA,220,40,40,50,30,30,30,3,"False","https://bulbapedia.bulbagarden.net/wiki/Seedot_(Pokémon)","Seedot (Japanese: タネボー Taneboh) is a Grass-type Pokémon introduced in Generation III.
","It evolves into Nuzleaf starting at level 14, which evolves into Shiftry when exposed to a Leaf Stone.
","z.def",0,0,1,0,0,0
